key,code,brand,model,type,seats,doors,accelleration,image,tag
8751,8751,Volkswagen,Golf,Cabriolet,4,2,15.5 sec,https://www.auto-data.net//images/f72/Volkswagen-Golf-III-Cabrio1E_1.jpg,51
16666,16666,Renault,Clio,Hatchback,5,2/3,7.8 sec,https://www.auto-data.net//images/f41/Renault-Clio-I_1.jpg,53
52351,52351,Trumpchi,GS3,SUV,5,5,10.6 sec,https://www.auto-data.net//images/f112/Trumpchi-GS3-Power-facelift-2020_1.jpg,54
50345,50345,Volkswagen,Transporter,Van,4-9,4-5,13.4 sec,https://www.auto-data.net//images/f33/Volkswagen-Transporter-T5-facelift-2009-Kombi_1.jpg,55
24663,24663,Fiat,Fullback,Pick-up,4,2,https://www.auto-data.net//images/f0/file8863744.jpg,56
31418,31418,Infiniti,Q50,Sedan,5,4,7.2 sec,https://www.auto-data.net//images/f17/infiniti-q50-facelift-2017.jpg,57
50588,50588,Toyota,Yaris Cross,"SUV, Crossover",5,5,https://www.auto-data.net//images/f106/Toyota-Yaris-Cross-AC200_1.jpg,58
27269,27269,Skoda,Octavia,Hatchback,5,5,8.5 sec,https://www.auto-data.net//images/f16/file805364.jpg,59
47946,47946,Chevrolet,Traverse,"SUV, Crossover",7-8,5,https://www.auto-data.net//images/f111/Chevrolet-Traverse-II-facelift-2021_1.jpg,60
10359,10359,Renault,12,Sedan,5,4,https://www.auto-data.net//images/f95/Renault-12_1.jpg,61
31485,31485,Kia,Sportage,SUV,5,5,10.4 sec,https://www.auto-data.net//images/f0/file7980085.jpg,62
28117,28117,BMW,7 Series,Sedan,5,4,10.5 sec,https://www.auto-data.net//images/f2/bmw-7er-e23-facelift-1983.jpg,63
15565,15565,Mitsubishi,Dingo,Hatchback,5,5,https://www.auto-data.net//images/f93/Mitsubishi-Dingo-CJ_1.jpg,64
40694,40694,Ford,Bronco Sport,"SUV, Crossover",5,5,https://www.auto-data.net//images/f66/Ford-Bronco-Sport_1.jpg,65
24023,24023,BMW,2 Series,Coupe,4,2,4.8 sec,https://www.auto-data.net//images/f46/BMW-2-Series-Coupe-F22_1.jpg,67
3726,3726,Toyota,Land Cruiser,SUV,5,5,12.6 sec,https://www.auto-data.net//images/f94/Toyota-Land-Cruiser-80.jpg,68
36600,36600,Jaguar,F-Pace,SUV,5,5,8.6 sec,https://www.auto-data.net//images/f5/file742077.jpg,69
5239,5239,Peugeot,1007,Minivan,4,3,11.8 sec,https://www.auto-data.net//images/f113/Peugeot-1007_1.jpg,70
8583,8583,Volkswagen,Bora,Station wagon,5,5,13.2 sec,https://www.auto-data.net//images/f100/Volkswagen-Bora-Variant-1J6_1.jpg,71
11554,11554,Rover,Mini MK,Hatchback,5,3,12.7 sec,https://www.auto-data.net//images/f1/big5301.jpg,72
21271,21271,Citroen,DS3,Hatchback,5,3,9.3 sec,https://www.auto-data.net//images/f17/file9216033.jpg,73
42212,42212,Alfa Romeo,159,Sedan,5,4,8.8 sec,https://www.auto-data.net//images/f56/Alfa-Romeo-159_1.jpg,74
17628,17628,Peugeot,308,Station wagon,5,5,9.8 sec,https://www.auto-data.net//images/f65/Peugeot-308-SW-I-Phase-II-2011_1.jpg,76
12318,12318,Honda,Today,Hatchback,4,3,https://www.auto-data.net//images/f103/Honda-Today.jpg,77
46233,46233,Honda,Accord,Sedan,5,4,https://www.auto-data.net//images/f61/Honda-Accord-X-facelift-2020_1.jpg,82
18201,18201,Citroen,C4,"Minivan, MPV",5,5,13.3 sec,https://www.auto-data.net//images/f13/citroen-c4-i-picasso-phase-i-2010.jpg,83
14881,14881,Smart,Roadster,Cabriolet,2,2,10.9 sec,https://www.auto-data.net//images/f88/Smart-Roadster-cabrio_1.jpg,85
10498,10498,Renault,Espace,"Minivan, MPV",7,5,10.9 sec,https://www.auto-data.net//images/f6/big4716.jpg,86
22169,22169,Fiat,500L,Hatchback,5,5,16 sec,https://www.auto-data.net//images/f8/file4622740.jpg,87
5767,5767,Autobianchi,A 112,Hatchback,https://www.auto-data.net//images/f75/Autobianchi-A-112.jpg,89
7942,7942,Ford,Consul,Coupe,https://www.auto-data.net//images/f75/Ford-Consul-Coupe-GGCL_1.jpg,90
33000,33000,Nissan,Altima,Sedan,5,4,https://www.auto-data.net//images/f15/nissan-altima-v-facelift-2016.jpg,91
5555,5555,Peugeot,305,Station wagon,https://www.auto-data.net//images/f53/Peugeot-305-II-Break-581E.jpg,92
20887,20887,Mercedes-Benz,B-class,Hatchback,5,5,11.9 sec,https://www.auto-data.net//images/f6/file4718550.jpg,94
20517,20517,Volkswagen,Scirocco,Coupe,4,3,7.4 sec,https://www.auto-data.net//images/f126/Volkswagen-Scirocco-facelift-2014_1.jpg,95
15492,15492,Mitsubishi,Pajero,SUV,5,3,17 sec,https://www.auto-data.net//images/f47/Mitsubishi-Pajero-III_1.jpg,96
23799,23799,Pagani,Zonda,Coupe,2,2,3.4 sec,https://www.auto-data.net//images/f14/file463278.jpg,97
23507,23507,Opel,Mokka,SUV,5,5,12.5 sec,https://www.auto-data.net//images/f91/Opel-Mokka_1.jpg,98
2097,2097,Opel,Corsa,Hatchback,5,3,8.1 sec,https://www.auto-data.net//images/f91/Opel-Corsa-D-3-door_1.jpg,99
7268,7268,Fiat,X 1/9,Targa,2,2,11.7 sec,https://www.auto-data.net//images/f66/Fiat-X-1-9-128-AS.jpg,100
3414,3414,Toyota,Corolla,Hatchback,5,5,https://www.auto-data.net//images/f42/Toyota-Corolla-Hatch-V-E80.jpg,101
5662,5662,Peugeot,205,Hatchback,5,3,7.8 sec,https://www.auto-data.net//images/f98/Peugeot-205-I-20A-C-facelift-1987_1.jpg,102
4753,4753,Audi,A6,Sedan,5,4,11.2 sec,https://www.auto-data.net//images/f128/Audi-A6-4A-C4_1.jpg,103
15448,15448,Mitsubishi,Grandis,Minivan,7,5,10.8 sec,https://www.auto-data.net//images/f38/Mitsubishi-Grandis_1.jpg,104
36986,36986,Mercedes-Benz,S-class,Sedan,5,4,4.8 sec,https://www.auto-data.net//images/f111/Mercedes-Benz-S-class-Long-V220-facelift-2002_1.jpg,105
30864,30864,GMC,Jimmy,SUV,5,3,https://www.auto-data.net//images/f68/GMC-Jimmy-S-15_1.jpg,106
42438,42438,Kia,Cee'd,Station wagon,5,5,11.1 sec,https://www.auto-data.net//images/f46/Kia-Ceed-SW-I_1.jpg,108
2760,2760,Kia,Sephia,Sedan,5,4,11.8 sec,https://www.auto-data.net//images/f65/Kia-Sephia-II_1.jpg,110
638,638,Nissan,Primera,Sedan,5,4,16.5 sec,https://www.auto-data.net//images/f54/Nissan-Primera-P10_1.jpg,111
23234,23234,Volvo,V60,Station wagon,5,5,6 sec,https://www.auto-data.net//images/f89/Volvo-V60-I-2013-facelift_1.jpg,112
29234,29234,Opel,Insignia,Hatchback,5,5,10.5 sec,https://www.auto-data.net//images/f24/opel-insignia-grand-sport.jpg,113
39039,39039,Citroen,C1,Hatchback,4,3,13.8 sec,https://www.auto-data.net//images/f28/file7399042.jpg,114
38856,38856,BAIC Motor,Senova D50,Sedan,5,4,https://www.auto-data.net//images/f42/BAIC-Motor-Senova-D50-I_1.jpg,115
