key,code,brand,model,type,seats,doors,accelleration,image,tag
8164,8164,Ford,Scorpio,Sedan,4,4,9.4 sec,https://www.auto-data.net//images/f74/Ford-Scorpio-I-Hatch-GGE_1.jpg,297
45275,45275,Toyota,Verso,MPV,5,5,10.4 sec,https://www.auto-data.net//images/f117/Toyota-Verso_1.jpg,298
49438,49438,Toyota,FJ Cruiser,"Off-road vehicle, SUV",5,5,https://www.auto-data.net//images/f124/Toyota-FJ-Cruiser_1.jpg,300
44628,44628,BMW,New Class,Sedan,5,4,13.2 sec,https://www.auto-data.net//images/f87/BMW-New-Class_1.jpg,302
43651,43651,Dodge,Durango,"SUV, MPV",5,4,https://www.auto-data.net//images/f94/Dodge-Durango-III-facelift-2021_1.jpg,303
50019,50019,Kia,Cerato,Sedan,5,4,9.3 sec,https://www.auto-data.net//images/f111/Kia-Cerato-III-Sedan_1.jpg,306
1584,1584,Oldsmobile,Cutlass,Station wagon,5,5,https://www.auto-data.net//images/f47/Oldsmobile-Cutlass-Ciera-Station-Wagon.jpg,307
52584,52584,BYD,M6,MPV,7,5,https://www.auto-data.net//images/f103/BYD-M6-facelift-2013_1.jpg,308
26277,26277,Audi,80,Sedan,5,4,16 sec,https://www.auto-data.net//images/f105/Audi-80-IV-B3-Typ-89-89Q-8A_1.jpg,310
32244,32244,MG,ZS,SUV,5,5,12.4 sec,https://www.auto-data.net//images/f54/MG-ZS-2017_1.jpg,311
51404,51404,Fiat,Scudo,Van,2-3,4-5,19.6 sec,https://www.auto-data.net//images/f99/Fiat-Scudo-III-507-Panel-Van_1.jpg,314
1252,1252,Alfa Romeo,164,Sedan,5,4,https://www.auto-data.net//images/f119/Alfa-Romeo-164-164_1.jpg,315
45744,45744,Citroen,Jumpy,Minivan,2-3,4,22.3 sec,https://www.auto-data.net//images/f116/Citroen-Jumpy-I_1.jpg,316
37652,37652,Cadillac,Escalade,SUV,7,5,https://www.auto-data.net//images/f14/file8021981.jpg,317
50784,50784,Infiniti,Q70,Sedan,5,4,https://www.auto-data.net//images/f54/Infiniti-Q70_1.jpg,318
20305,20305,Renault,Kangoo,Minivan,7,5,13.3 sec,https://www.auto-data.net//images/f3/file8253437.jpg,320
9339,9339,Volvo,240,Sedan,https://www.auto-data.net//images/f79/Volvo-240-P242-P244.jpg,322
35242,35242,HSV,Clubsport,Sedan,5,4,4.9 sec,https://www.auto-data.net//images/f19/HSV-Clubsport-R8-VE-II.jpg,323
9416,9416,Volvo,740,Station wagon,5,5,https://www.auto-data.net//images/f51/Volvo-740-Combi-745.jpg,327
3583,3583,Toyota,Avensis,Sedan,5,4,9.4 sec,https://www.auto-data.net//images/f110/Toyota-Avensis-II_1.jpg,329
25732,25732,Opel,Zafira,MPV,5,5,10.8 sec,https://www.auto-data.net//images/f4/opel-zafira-tourer-c-facelift-2016.jpg,330
1515,1515,Alfa Romeo,GTV,Coupe,4,2,8.5 sec,https://www.auto-data.net//images/f76/Alfa-Romeo-GTV-916-facelift-2003_1.jpg,332
2335,2335,Opel,Vectra,Hatchback,5,5,9.5 sec,https://www.auto-data.net//images/f22/file1494151.jpg,336
38533,38533,Seat,Alhambra,"Minivan, MPV",7,5,11.4 sec,https://www.auto-data.net//images/f65/Seat-Alhambra-II-7N_1.jpg,338
29951,29951,Acura,TLX,Sedan,5,4,8.2 sec,https://www.auto-data.net//images/f5/acura-tlx-i.jpg,339
13165,13165,Mercedes-Benz,A-class,Hatchback,5,5,10.9 sec,https://www.auto-data.net//images/f102/Mercedes-Benz-A-class-W169_1.jpg,340
14983,14983,Citroen,AMI,Station wagon,4,5,https://www.auto-data.net//images/f87/Citroen-AMI-8.jpg,341
36159,36159,Volkswagen,Touran,Minivan,5-7,5,8.9 sec,https://www.auto-data.net//images/f14/file6385411.jpg,343
50749,50749,Baojun,310,Hatchback,5,5,https://www.auto-data.net//images/f67/Baojun-310_1.jpg,344
49446,49446,Chevrolet,Aveo,Hatchback,5,5,https://www.auto-data.net//images/f49/Chevrolet-Aveo-III-Hatchback_1.jpg,345
42761,42761,Mitsubishi,Montero Sport,"Off-road vehicle, SUV",7,5,https://www.auto-data.net//images/f121/Mitsubishi-Montero-Sport-III_1.jpg,346
33243,33243,Proton,Saga,Sedan,5,4,https://www.auto-data.net//images/f26/proton-saga-iii.jpg,347
46565,46565,Citroen,Xsara,Station wagon,5,5,14.4 sec,https://www.auto-data.net//images/f8/big7608.jpg,348
25158,25158,Nissan,Cedric,Sedan,5,4,12.6 sec,https://www.auto-data.net//images/f94/Nissan-Cedric-Y31.jpg,349
30966,30966,Lincoln,Navigator,SUV,8,5,https://www.auto-data.net//images/f11/lincoln-navigator-iii-facelift-2015.jpg,354
1552,1552,Alfa Romeo,75,Sedan,5,4,12.4 sec,https://www.auto-data.net//images/f78/Alfa-Romeo-75-162-B-facelift-1988_1.jpg,355
50904,50904,Toyota,Tacoma,Pick-up,5,4,https://www.auto-data.net//images/f36/Toyota-Tacoma-IV-Double-Cab-Long_1.jpg,359
27094,27094,Audi,Cabriolet,Cabriolet,4,2,11.4 sec,https://www.auto-data.net//images/f84/Audi-Cabriolet-B3-8G-facelift-1997_1.jpg,360
37286,37286,Mitsubishi,ASX,"SUV, Crossover",5,5,12.2 sec,https://www.auto-data.net//images/f72/Mitsubishi-ASX-facelift-2019_1.jpg,362
34619,34619,Nissan,Titan,Pick-up,5-6,4,https://www.auto-data.net//images/f110/Nissan-Titan-II-XD-Crew-Cab.jpg,363
21565,21565,Mini,Convertible,Cabriolet,4,2,6.9 sec,https://www.auto-data.net//images/f7/file3006138.jpg,364
22619,22619,Toyota,Auris,Station wagon,5,5,10.7 sec,https://www.auto-data.net//images/f76/Toyota-Auris-II-Touring-Sports-facelift-2015_1.jpg,369
6059,6059,Pontiac,Phoenix,Sedan,https://www.auto-data.net//images/f80/Pontiac-Phoenix.jpg,371
33650,33650,BMW,X4,SAC,5,5,4.8 sec,https://www.auto-data.net//images/f23/bmw-x4-g02.jpg,372
28955,28955,Mitsubishi,Colt,Hatchback,5,3,12.5 sec,https://www.auto-data.net//images/f123/Mitsubishi-Colt-IV-CAO_1.jpg,373
45735,45735,Lancia,Trevi,Sedan,5,4,10.4 sec,https://www.auto-data.net//images/f70/Lancia-Trevi-828_1.jpg,374
38383,38383,Kia,Forte,Hatchback,5,5,https://www.auto-data.net//images/f72/Kia-Forte5-III_1.jpg,375
12018,12018,Saab,95,Station wagon,7,3,https://www.auto-data.net//images/f121/Saab-95_1.jpg,377
31994,31994,Ford,Ranger,Pick-up,4,2,12.5 sec,https://www.auto-data.net//images/f14/ford-ranger-ii-super-cab.jpg,379
32469,32469,Peugeot,5008,SUV,7,5,9.2 sec,https://www.auto-data.net//images/f27/peugeot-5008-ii.jpg,380
6595,6595,Porsche,911,Coupe,4,2,5 sec,https://www.auto-data.net//images/f55/Porsche-911-996-facelift-2001_3.jpg,382
9096,9096,Volkswagen,Jetta,Sedan,5,4,12.9 sec,https://www.auto-data.net//images/f70/Volkswagen-Jetta-IV.jpg,384
8807,8807,Volkswagen,Beetle,Hatchback,4,3,9 sec,https://www.auto-data.net//images/f94/Volkswagen-NEW-Beetle-9C_1.jpg,385
31265,31265,Toyota,Tundra,Pick-up,5-6,4,https://www.auto-data.net//images/f20/toyota-tundra-ii-crewmax-facelift-2009.jpg,387
39282,39282,Hyundai,i20,Hatchback,5,5,11.4 sec,https://www.auto-data.net//images/f77/Hyundai-i20-III_1.jpg,392
18573,18573,Hyundai,i40,Station wagon,5,5,9.7 sec,https://www.auto-data.net//images/f127/Hyundai-i40-Combi_1.jpg,396
29496,29496,Land Rover,Range Rover Velar,SUV,5,5,8.9 sec,https://www.auto-data.net//images/f18/land-rover-range-rover-velar.jpg,397
935,935,Nissan,Serena,Minivan,8,5,13 sec,https://www.auto-data.net//images/f51/Nissan-Serena-C24_1.jpg,398
48819,48819,Chevrolet,Onix,Hatchback,5,5,https://www.auto-data.net//images/f71/Chevrolet-Onix-I-facelift-2017_1.jpg,401
7214,7214,Fiat,Marea,Station wagon,5,5,15.5 sec,https://www.auto-data.net//images/f79/Fiat-Marea-Weekend-185_1.jpg,403
49307,49307,Volkswagen,Caravelle,Van,4-9,4-5,12.1 sec,https://www.auto-data.net//images/f58/Volkswagen-Caravelle-T5.1-facelift-2009_1.jpg,418
11162,11162,Mazda,323,Sedan,5,4,9.8 sec,https://www.auto-data.net//images/f82/Mazda-323-S-V-BA_1.jpg,419
12366,12366,Honda,NSX,Coupe,2,2,7.5 sec,https://www.auto-data.net//images/f120/Honda-NSX-Coupe-NA_1.jpg,420
14392,14392,Chevrolet,Classic,Sedan,5,4,10 sec,https://www.auto-data.net//images/f81/Chevrolet-Classic.jpg,422
5159,5159,Land Rover,Defender,Off-road vehicle,5-7,4,https://www.auto-data.net//images/f8/big2508.jpg,425
48472,48472,Subaru,Crosstrek,"SUV, Crossover",5,5,https://www.auto-data.net//images/f48/Subaru-XV-Crosstrek-I_1.jpg,426
1308,1308,Alfa Romeo,147,Hatchback,5,3,12.1 sec,https://www.auto-data.net//images/f76/Alfa-Romeo-147-3-doors_1.jpg,427
12486,12486,Caterham,Seven,Cabriolet,2,2,5.8 sec,https://www.auto-data.net//images/f104/Caterham-Super.jpg,428
4098,4098,Audi,100,Sedan,5,4,12 sec,https://www.auto-data.net//images/f56/Audi-100-C3-Typ-44-44Q_1.jpg,429
37188,37188,Mercedes-Benz,R-class,Station wagon,5,5,9.7 sec,https://www.auto-data.net//images/f6/Mercedes-Benz-R-class-W251-Long.jpg,430
45907,45907,MG,MG6,Liftback,5,5,https://www.auto-data.net//images/f93/MG-MG6-II-facelift-2021_1.jpg,432
22278,22278,Opel,Movano,Minivan,3,5,https://www.auto-data.net//images/f14/file5661767.jpg,435
21788,21788,Volvo,V70,Station wagon,5,5,7.8 sec,https://www.auto-data.net//images/f20/file6529830.jpg,442
1057,1057,Acura,RSX,Coupe,4,2,6.2 sec,https://www.auto-data.net//images/f40/Acura-RSX_1.jpg,443
4970,4970,Lancia,Ypsilon,Hatchback,5,3,16.8 sec,https://www.auto-data.net//images/f97/Lancia-Ypsilon-843_1.jpg,444
46340,46340,XPENG,P5,"Sedan, Fastback",5,4,7.5 sec,https://www.auto-data.net//images/f51/XPENG-P5_1.jpg,446
21633,21633,Mini,Countryman,SUV,5,5,9.4 sec,https://www.auto-data.net//images/f17/file9151689.jpg,447
31190,31190,Toyota,Camry,Sedan,5,4,https://www.auto-data.net//images/f6/toyota-camry-vi-facelift-2010.jpg,448
13654,13654,GAZ,31,Sedan,5,4,19 sec,https://www.auto-data.net//images/f9/big6539.jpg,450
4903,4903,Audi,Quattro,Coupe,5,3,6.5 sec,https://www.auto-data.net//images/f84/Audi-Quattro-Typ-85_1.jpg,451
9145,9145,Volkswagen,Phaeton,Sedan,5,4,8.8 sec,https://www.auto-data.net//images/f123/Volkswagen-Phaeton_1.jpg,452
10956,10956,Buick,Century,Station wagon,5,5,https://www.auto-data.net//images/f103/Buick-Century.jpg,454
42676,42676,Honda,HR-V,"SUV, Crossover",5,5,https://www.auto-data.net//images/f34/Honda-HR-V-II-facelift-2018_1.jpg,455
5489,5489,Peugeot,304,Station wagon,https://www.auto-data.net//images/f46/Peugeot-304-Break_1.jpg,458
42903,42903,Mercedes-Benz,/8,Sedan,5,4,13.9 sec,https://www.auto-data.net//images/f40/Mercedes-Benz-8-W114_1.jpg,459
42320,42320,Porsche,Panamera,Liftback,4,5,3.2 sec,https://www.auto-data.net//images/f53/Porsche-Panamera-G2-II_1.jpg,462
9875,9875,BMW,M5,Sedan,5,4,5.3 sec,https://www.auto-data.net//images/f129/BMW-M5-E39_1.jpg,464
20991,20991,BMW,4 Series,Coupe,4,2,7.3 sec,https://www.auto-data.net//images/f38/BMW-4-Series-Coupe-F32_1.jpg,470
19824,19824,Ford,Focus,Station wagon,5,5,8.8 sec,https://www.auto-data.net//images/f57/Ford-Focus-III-Wagon_1.jpg,475
6452,6452,Vauxhall,Cavalier,Sedan,5,4,7.8 sec,https://www.auto-data.net//images/f123/Vauxhall-Cavalier-Mk-III.jpg,488
50528,50528,Fiat,Topolino,Quadricycle,2,2,https://www.auto-data.net//images/f121/Fiat-Topolino_1.jpg,489
21297,21297,Lotus,Elise,Roadster,2,2,4.6 sec,https://www.auto-data.net//images/f3/file4782029.jpg,490
41700,41700,Volkswagen,ID.3,Hatchback,5,5,9.6 sec,https://www.auto-data.net//images/f58/Volkswagen-ID.3_1.jpg,492
17023,17023,Fiat,Punto,Hatchback,5,3-5,13.2 sec,https://www.auto-data.net//images/f63/Fiat-Grande-Punto-199_1.jpg,493
34415,34415,Proton,Perdana,Sedan,5,4,https://www.auto-data.net//images/f12/Proton-Perdana-II-facelift-2016.jpg,494
48652,48652,Sportequipe,7,SUV,7,5,https://www.auto-data.net//images/f125/Sportequipe-7_1.jpg,497
12707,12707,Mercedes-Benz,CL,Coupe,4,2,5.4 sec,https://www.auto-data.net//images/f66/Mercedes-Benz-CL-C216_1.jpg,499
29501,29501,Nissan,Micra,Hatchback,5,3/5,13.7 sec,https://www.auto-data.net//images/f76/Nissan-Micra-K11_1.jpg,500
31711,31711,Mitsubishi,FTO,Coupe,2,2,https://www.auto-data.net//images/f89/Mitsubishi-FTO-E-DE3A_1.jpg,501
28824,28824,Kia,Picanto,Hatchback,5,5,15.4 sec,https://www.auto-data.net//images/f115/Kia-Picanto_1.jpg,502
33155,33155,Haima,S5 Young,SUV,5,5,https://www.auto-data.net//images/f73/Haima-S5-Young.jpg,503
11716,11716,Cadillac,Brougham,Sedan,5,4,12 sec,https://www.auto-data.net//images/f39/Cadillac-Brougham_1.jpg,504
25568,25568,Vauxhall,Corsa,Hatchback,5,5,10.3 sec,https://www.auto-data.net//images/f4/Vauxhall-Corsa-E_1.jpg,505
29467,29467,Rover,800,Coupe,5,2,12.4 sec,https://www.auto-data.net//images/f37/Rover-800-Coupe.jpg,506
16340,16340,Daewoo,Espero,Sedan,5,4,12.8 sec,https://www.auto-data.net//images/f90/Daewoo-Espero-KLEJ_1.jpg,507
801,801,Nissan,Fuga,Sedan,5,4,https://www.auto-data.net//images/f98/Nissan-Fuga-I-Y50-facelift-2007_1.jpg,514
286,286,Nissan,Patrol,Off-road vehicle,7,5,https://www.auto-data.net//images/f32/Nissan-Patrol-GR-Y61_1.jpg,515
37698,37698,Kia,XCeed,"SUV, Crossover",5,5,11 sec,https://www.auto-data.net//images/f67/Kia-XCeed_3.jpg,519
51703,51703,Audi,Q7,SUV,5,5,5 sec,https://www.auto-data.net//images/f55/Audi-Q7-Typ-4M-facelift-2024_1.jpg,520
39422,39422,McLaren,625C,Cabriolet,2,2,3.3 sec,https://www.auto-data.net//images/f130/McLaren-625C-Spider_1.jpg,528
21894,21894,Jaguar,F-type,Cabriolet,2,2,5.7 sec,https://www.auto-data.net//images/f56/Jaguar-F-type-Convertible_1.jpg,529
28411,28411,BMW,6 Series,Coupe,4,4,5.3 sec,https://www.auto-data.net//images/f79/BMW-6-Series-Gran-Coupe-F06_1.jpg,532
2804,2804,Aro,24,Off-road vehicle,5,5,https://www.auto-data.net//images/f4/big1314.jpg,533
52528,52528,Audi,RS 3,Sedan,5,4,3.8 sec,https://www.auto-data.net//images/f63/Audi-RS-3-Sedan-8Y-facelift-2024_3.jpg,534
33112,33112,Buick,Envision,SUV,5,5,https://www.auto-data.net//images/f7/buick-envision-facelift-2018.jpg,537
13258,13258,Lada,2102,Station wagon,5,5,20 sec,https://www.auto-data.net//images/f9/big6239.jpg,538
14398,14398,Chevrolet,Impala,Sedan,5,4,7 sec,https://www.auto-data.net//images/f114/Chevrolet-Impala-VIII-W_1.jpg,540
25114,25114,Hyundai,i30,Station wagon,5,5,13 sec,https://www.auto-data.net//images/f9/file1727306.jpg,541
738,738,Nissan,Almera,Minivan,5,5,12.7 sec,https://www.auto-data.net//images/f130/Nissan-Almera-Tino_1.jpg,543
18055,18055,Ford,Kuga,SUV,5,5,10.4 sec,https://www.auto-data.net//images/f64/Ford-Kuga-I-facelift-2010.jpg,544
5351,5351,Peugeot,207,Hatchback,5,3-5,15.6 sec,https://www.auto-data.net//images/f110/Peugeot-207_1.jpg,548
39236,39236,Mitsubishi,Outlander,"SUV, Crossover",5,5,11 sec,https://www.auto-data.net//images/f104/Mitsubishi-Outlander-III_1.jpg,549
42423,42423,Abarth,500,Hatchback,4,3,7.9 sec,https://www.auto-data.net//images/f69/Abarth-500_1.jpg,550
15913,15913,Isuzu,Ascender,SUV,7,5,https://www.auto-data.net//images/f65/Isuzu-Ascender_1.jpg,551
32794,32794,Peugeot,Partner,Minivan,5,5,19.5 sec,https://www.auto-data.net//images/f43/Peugeot-Partner-II-Tepee-Phase-III-2015_1.jpg,553
47717,47717,GMC,Sierra 3500HD,Pick-up,5,4,https://www.auto-data.net//images/f85/GMC-Sierra-3500HD-V-GMTT1XX-facelift-2024-Crew-Cab-Long-Bed_1.jpg,558
11972,11972,Saab,9-7X,SUV,5,5,7.5 sec,https://www.auto-data.net//images/f91/Saab-9-7X_1.jpg,560
3900,3900,Toyota,MR 2,Targa,2,2,9.5 sec,https://www.auto-data.net//images/f128/Toyota-MR-2-_W2.jpg,561
29787,29787,Jaguar,XE,Sedan,5,4,6.3 sec,https://www.auto-data.net//images/f65/Jaguar-XE-X760_1.jpg,566
25969,25969,Opel,Manta,Coupe,4,2,15.5 sec,https://www.auto-data.net//images/f89/Opel-Manta-B-facelift-1982.jpg,567
24347,24347,Volvo,C30,Coupe,4,3,7.1 sec,https://www.auto-data.net//images/f85/Volvo-C30_1.jpg,571
25835,25835,Opel,Combo,Minivan,5,5,14 sec,https://www.auto-data.net//images/f55/Opel-Combo-Tour-C-facelift-2003.jpg,572
5253,5253,Peugeot,206,Hatchback,5,3-5,15.1 sec,https://www.auto-data.net//images/f103/Peugeot-206_1.jpg,573
5824,5824,TVR,Cerbera,Coupe,4,2,https://www.auto-data.net//images/f9/big2759.jpg,574
47874,47874,Hyundai,Santa Fe,SUV,5,5,12.4 sec,https://www.auto-data.net//images/f59/Hyundai-Santa-Fe-II_1.jpg,575
42550,42550,Bentley,Continental,Coupe,4,2,3.6 sec,https://www.auto-data.net//images/f48/Bentley-Continental-GT-III_3.jpg,577
33385,33385,Mitsubishi,Pajero Sport,SUV,7,5,https://www.auto-data.net//images/f98/Mitsubishi-Pajero-Sport-III-facelift-2019.jpg,578
1292,1292,Alfa Romeo,90,Sedan,5,4,https://www.auto-data.net//images/f52/Alfa-Romeo-90-162_1.jpg,579
20513,20513,Volkswagen,Caddy,Minivan,5-7,5,13.7 sec,https://www.auto-data.net//images/f85/Volkswagen-Caddy-III-facelift-2010_1.jpg,580
50218,50218,Nissan,Note,Crossover,5,5,https://www.auto-data.net//images/f75/Nissan-Note-III-E13-Autech-Crossover_1.jpg,583
15346,15346,Mitsubishi,3000 GT,Coupe,4,2,5 sec,https://www.auto-data.net//images/f127/Mitsubishi-3000-GT-Z16A_1.jpg,588
34931,34931,Dacia,Duster,SUV,5,5,12.1 sec,https://www.auto-data.net//images/f19/dacia-duster-ii_1.jpg,591
21551,21551,Mini,Hatch,Hatchback,5,5,9.4 sec,https://www.auto-data.net//images/f27/file5962546.jpg,592
14582,14582,Chevrolet,Metro,Sedan,4,4,https://www.auto-data.net//images/f72/Chevrolet-Metro-Sedan-MR226_1.jpg,594
20396,20396,Volkswagen,Touareg,SUV,5,5,8.7 sec,https://www.auto-data.net//images/f120/Volkswagen-Touareg-II-7P-facelift-2014_1.jpg,595
7921,7921,Ford,Taurus,Sedan,5,4,https://www.auto-data.net//images/f38/Ford-Taurus-V_1.jpg,600
14540,14540,Chevrolet,Malibu,Sedan,5,4,https://www.auto-data.net//images/f3/big7253.jpg,601
22622,22622,Mercedes-Benz,SLC,"Coupe - Cabriolet, Roadster",2,2,6.6 sec,https://www.auto-data.net//images/f15/file1858362.jpg,605
34085,34085,Lexus,UX,SUV,5,5,9.2 sec,https://www.auto-data.net//images/f104/Lexus-UX_1.jpg,609
52346,52346,Pagani,Utopia,Roadster,2,2,https://www.auto-data.net//images/f103/Pagani-Utopia-Roadster_1.jpg,611
24943,24943,Chevrolet,Colorado,Pick-up,5,4,https://www.auto-data.net//images/f70/Chevrolet-Colorado_1.jpg,614
43486,43486,Mercedes-Benz,W108,Sedan,5,4,12.5 sec,https://www.auto-data.net//images/f62/Mercedes-Benz-S-class-W108_1.jpg,616
32420,32420,Volkswagen,Up!,Hatchback,4,4,10.8 sec,https://www.auto-data.net//images/f24/volkswagen-cross-up-facelift-2016.jpg,618
29347,29347,Hyundai,Accent,Hatchback,5,3/5,10.5 sec,https://www.auto-data.net//images/f70/Hyundai-Accent-Hatchback-II_1.jpg,619
24691,24691,Hyundai,Genesis,Coupe,4,2,7.4 sec,https://www.auto-data.net//images/f34/Hyundai-Genesis-Coupe-facelift-2012_1.jpg,620
44714,44714,Mercedes-Benz,W112,Coupe,5,2,11.5 sec,https://www.auto-data.net//images/f86/Mercedes-Benz-W112-Coupe_1.jpg,621
32171,32171,Aston Martin,V8 Vantage,Coupe,2,2,3.6 sec,https://www.auto-data.net//images/f82/Aston-Martin-V8-Vantage-2018_1.jpg,622
41260,41260,Rolls-Royce,Ghost,Sedan,5,4,4.8 sec,https://www.auto-data.net//images/f112/Rolls-Royce-Ghost-II_1.jpg,624
18679,18679,Alfa Romeo,Giulietta,Hatchback,5,5,10.6 sec,https://www.auto-data.net//images/f38/Alfa-Romeo-Giulietta-Type-940_1.jpg,626
49223,49223,Rover,75,Station wagon,5,5,https://www.auto-data.net//images/f54/Rover-75-Tourer-facelift-2004_1.jpg,627
24137,24137,Toyota,Hilux,Pick-up,2,3,13.2 sec,https://www.auto-data.net//images/f125/Toyota-Hilux-Extra-Cab-VIII_1.jpg,628
37892,37892,Kia,Soul,Crossover,5,5,9.9 sec,https://www.auto-data.net//images/f127/Kia-Soul-III_1.jpg,629
45448,45448,Cupra,Leon,Hatchback,5,5,7.5 sec,https://www.auto-data.net//images/f81/Cupra-Leon_1.jpg,630
26834,26834,Opel,Signum,Hatchback,5,5,9.4 sec,https://www.auto-data.net//images/f15/file7496289.jpg,631
31701,31701,Daewoo,Nubira,Sedan,5,4,9.5 sec,https://www.auto-data.net//images/f104/Daewoo-Nubira-III_1.jpg,633
37158,37158,Skoda,Superb,Liftback,5,5,7.7 sec,https://www.auto-data.net//images/f3/Skoda-Superb-III-facelift-2019.jpg,635
3177,3177,Toyota,Celsior,Sedan,5,4,https://www.auto-data.net//images/f118/Toyota-Celsior-II_1.jpg,636
44874,44874,Mercedes-Benz,SL,Coupe,2,2,10.6 sec,https://www.auto-data.net//images/f33/Mercedes-Benz-W113-Roadster_1.jpg,637
19597,19597,Opel,Meriva,MPV,5,5,13.8 sec,https://www.auto-data.net//images/f64/Opel-Meriva-B-facelift-2014_1.jpg,639
1634,1634,Alpina,B10,Sedan,https://www.auto-data.net//images/f115/Alpina-B10-E34_1.jpg,648
32841,32841,RUF,SCR,Coupe,2,2,https://www.auto-data.net//images/f73/RUF-SCR_1.jpg,651
2665,2665,Kia,Sorento,SUV,5,5,10.2 sec,https://www.auto-data.net//images/f108/Kia-Sorento-I_1.jpg,654
5446,5446,Peugeot,309,Hatchback,https://www.auto-data.net//images/f77/Peugeot-309-I-10C-10A_1.jpg,657
10930,10930,Maserati,Spyder,Cabriolet,2,2,5 sec,https://www.auto-data.net//images/f61/Maserati-Spyder_3.jpg,659
28924,28924,Kia,Magentis,Sedan,5,4,https://www.auto-data.net//images/f42/Kia-Magentis-II-facelift-2008_1.jpg,663
43515,43515,Mercedes-Benz,GLK,SUV,5,5,6.5 sec,https://www.auto-data.net//images/f130/Mercedes-Benz-GLK_1.jpg,664
8035,8035,Ford,Fiesta,Hatchback,5,5,9.9 sec,https://www.auto-data.net//images/f118/Ford-Fiesta-VII-Mk7_1.jpg,666
12281,12281,Honda,Civic,Station wagon,https://www.auto-data.net//images/f48/Honda-Civic-IV-Shuttle_1.jpg,669
13371,13371,Mercury,Topaz,Sedan,5,2,https://www.auto-data.net//images/f8/big6358.jpg,670
33598,33598,Koenigsegg,CC,Targa,2,2,3.2 sec,https://www.auto-data.net//images/f117/Koenigsegg-CCX_1.jpg,671
6038,6038,Pontiac,Vibe,Station wagon,5,5,10 sec,https://www.auto-data.net//images/f4/big2924.jpg,675
27510,27510,Citroen,C3,Hatchback,5,5,9.7 sec,https://www.auto-data.net//images/f25/file2712106.jpg,678
25859,25859,Opel,Commodore,Sedan,5,2-4,13 sec,https://www.auto-data.net//images/f107/Opel-Commodore-C_1.jpg,679
21324,21324,Lexus,GS,Sedan,5,4,5.9 sec,https://www.auto-data.net//images/f17/file4205893.jpg,680
16761,16761,Fiat,Bravo,Hatchback,5,5,10.5 sec,https://www.auto-data.net//images/f91/Fiat-Bravo-II_1.jpg,681
3187,3187,Toyota,Hiace,Minivan,8,4,https://www.auto-data.net//images/f61/Toyota-Hiace.jpg,686
34950,34950,Chevrolet,Orlando,MPV,7,5,https://www.auto-data.net//images/f114/Chevrolet-Orlando-II_1.jpg,698
8131,8131,Ford,Flex,SUV,6-7,5,8.8 sec,https://www.auto-data.net//images/f79/Ford-Flex_1.jpg,701
11837,11837,McLaren,F1,Coupe,3,2,https://www.auto-data.net//images/f84/McLaren-F1_1.jpg,703
1570,1570,Dallas,Fun,Off-road vehicle,2,2,15 sec,https://www.auto-data.net//images/f3/big833.jpg,704
6815,6815,Fiat,Croma,Hatchback,https://www.auto-data.net//images/f71/Fiat-Croma-154_1.jpg,705
30390,30390,Perodua,Myvi,Hatchback,5,5,https://www.auto-data.net//images/f13/perodua-myvi-ii.jpg,710
33267,33267,BMW,X5,SAV,5,5,5.2 sec,https://www.auto-data.net//images/f5/bmw-x5-g05_1.jpg,711
7900,7900,Ford,Orion,Sedan,https://www.auto-data.net//images/f70/Ford-Orion-III-GAL.jpg,713
11497,11497,Rover,100,Hatchback,5,3-5,14.8 sec,https://www.auto-data.net//images/f64/Rover-100-METRO-XP.jpg,714
34870,34870,Land Rover,Range Rover Evoque,SUV,5,5,6.6 sec,https://www.auto-data.net//images/f48/Land-Rover-Range-Rover-Evoque-II_1.jpg,715
14867,14867,Smart,Fortwo,Cabriolet,2,2,https://www.auto-data.net//images/f9/big7499.jpg,717
31609,31609,Toyota,Crown,Sedan,5,4,https://www.auto-data.net//images/f6/toyota-crown-athlete-xiv-s210.jpg,719
7766,7766,Ford,Fusion,Hatchback,5,5,15.5 sec,https://www.auto-data.net//images/f16/ford-fusion.jpg,723
11559,11559,Rover,200,Hatchback,5,3-5,9.9 sec,https://www.auto-data.net//images/f126/Rover-200-RF.jpg,724
33477,33477,Mazda,CX-3,SUV,5,5,10.5 sec,https://www.auto-data.net//images/f5/Mazda-CX-3-facelift-2018.jpg,725
51127,51127,Exeed,Yaoguang,SUV,5,5,https://www.auto-data.net//images/f70/Exeed-RX-Yaoguang_1.jpg,727
24189,24189,Aston Martin,DB9,Coupe,4,2,5.1 sec,https://www.auto-data.net//images/f7/file9201745.jpg,728
20252,20252,Renault,Laguna,Station wagon,5,5,9.3 sec,https://www.auto-data.net//images/f70/Renault-Laguna-III-Grandtour-Phase-II_1.jpg,729
43497,43497,Mercedes-Benz,W109,Sedan,5,4,11.2 sec,https://www.auto-data.net//images/f55/Mercedes-Benz-S-class-SEL-W109_1.jpg,735
32788,32788,Volvo,XC40,SUV,5,5,9.4 sec,https://www.auto-data.net//images/f10/volvo-xc40_1.jpg,738
5969,5969,Pontiac,GTO,Coupe,4,2,https://www.auto-data.net//images/f66/Pontiac-GTO_1.jpg,739
10391,10391,Renault,21,Station wagon,5,5,10.7 sec,https://www.auto-data.net//images/f78/Renault-21-Combi-K48.jpg,740
